to,from,subject_category,object_category,predicate,evidence_count,aggregator_knowledge_source,primary_knowledge_source,publications,provided_by,link_category,id.from,label.from,category.from,taxon.from,taxon_label.from,db.from,id.to,label.to,category.to,taxon.to,taxon_label.to,db.to
CL:0000233,MONDO:0008495,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0008495,platelet storage pool deficiency,biolink:Disease,"","",MONDO,CL:0000233,platelet,biolink:Cell,"","",CL
CL:0000233,MONDO:0008558,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0008558,autoimmune thrombocytopenic purpura,biolink:Disease,"","",MONDO,CL:0000233,platelet,biolink:Cell,"","",CL
CL:0000234,MONDO:0024627,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0024627,phagocytic cell dysfunction,biolink:Disease,"","",MONDO,CL:0000234,phagocyte,biolink:Cell,"","",CL
CL:0000235,MONDO:0015540,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0015540,hemophagocytic syndrome,biolink:Disease,"","",MONDO,CL:0000235,macrophage,biolink:Cell,"","",CL
CL:0000235,HP:0004311,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0004311,Abnormal macrophage morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000235,macrophage,biolink:Cell,"","",CL
CL:0000236,HP:0005372,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0005372,Abnormality of B cell physiology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000236,B cell,biolink:Cell,"","",CL
CL:0000236,HP:0002846,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0002846,Abnormal B cell morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000236,B cell,biolink:Cell,"","",CL
CL:0000236,MONDO:0004095,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004095,B-cell neoplasm,biolink:Disease,"","",MONDO,CL:0000236,B cell,biolink:Cell,"","",CL
CL:0000236,MONDO:0002211,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0002211,B cell deficiency,biolink:Disease,"","",MONDO,CL:0000236,B cell,biolink:Cell,"","",CL
CL:0000242,MONDO:0019210,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0019210,cutaneous neuroendocrine carcinoma,biolink:Disease,"","",MONDO,CL:0000242,Merkel cell,biolink:Cell,"","",CL
CL:0000244,MONDO:0006474,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006474,transitional cell carcinoma,biolink:Disease,"","",MONDO,CL:0000244,transitional epithelial cell,biolink:Cell,"","",CL
CL:0000313,MONDO:0002362,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0002362,serous surface papilloma,biolink:Disease,"","",MONDO,CL:0000313,serous secreting cell,biolink:Cell,"","",CL
CL:0000336,MONDO:0004974,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004974,adrenal gland pheochromocytoma,biolink:Disease,"","",MONDO,CL:0000336,adrenal medulla chromaffin cell,biolink:Cell,"","",CL
CL:0000354,MONDO:0006058,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006058,Wilms tumor,biolink:Disease,"","",MONDO,CL:0000354,blastemal cell,biolink:Cell,"","",CL
CL:0000442,MONDO:0005764,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0005764,follicular dendritic cell sarcoma,biolink:Disease,"","",MONDO,CL:0000442,follicular dendritic cell,biolink:Cell,"","",CL
CL:0000446,MONDO:0004302,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004302,chief cell adenoma,biolink:Disease,"","",MONDO,CL:0000446,chief cell of parathyroid gland,biolink:Cell,"","",CL
CL:0000451,MONDO:0004380,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004380,dendritic cell sarcoma,biolink:Disease,"","",MONDO,CL:0000451,dendritic cell,biolink:Cell,"","",CL
CL:0000451,MONDO:0016974,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0016974,thymoma type B,biolink:Disease,"","",MONDO,CL:0000451,dendritic cell,biolink:Cell,"","",CL
CL:0000451,MONDO:0020082,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0020082,dendritic cell tumor,biolink:Disease,"","",MONDO,CL:0000451,dendritic cell,biolink:Cell,"","",CL
CL:0000453,MONDO:0019480,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0019480,Langerhans cell sarcoma,biolink:Disease,"","",MONDO,CL:0000453,Langerhans cell,biolink:Cell,"","",CL
CL:0000453,MONDO:0018310,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0018310,Langerhans cell histiocytosis,biolink:Disease,"","",MONDO,CL:0000453,Langerhans cell,biolink:Cell,"","",CL
CL:0000492,MONDO:0012268,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0012268,AIDS,biolink:Disease,"","",MONDO,CL:0000492,CD4-positive helper T cell,biolink:Cell,"","",CL
CL:0000492,HP:0500267,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0500267,Abnormal proportion of CD4-positive helper T cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000492,CD4-positive helper T cell,biolink:Cell,"","",CL
CL:0000499,MONDO:0005953,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0005953,scirrhous adenocarcinoma,biolink:Disease,"","",MONDO,CL:0000499,stromal cell,biolink:Cell,"","",CL
CL:0000501,MONDO:0006036,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006036,granulosa cell tumor,biolink:Disease,"","",MONDO,CL:0000501,granulosa cell,biolink:Cell,"","",CL
CL:0000540,HP:0002493,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0002493,Upper motor neuron dysfunction (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000540,neuron,biolink:Cell,"","",CL
CL:0000540,MONDO:0004466,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004466,neuronitis,biolink:Disease,"","",MONDO,CL:0000540,neuron,biolink:Cell,"","",CL
CL:0000540,HP:0002529,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0002529,Neuronal loss in central nervous system (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000540,neuron,biolink:Cell,"","",CL
CL:0000540,HP:0012757,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0012757,Abnormal neuron morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000540,neuron,biolink:Cell,"","",CL
CL:0000542,MONDO:0005402,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0005402,lymphoid leukemia,biolink:Disease,"","",MONDO,CL:0000542,lymphocyte,biolink:Cell,"","",CL
CL:0000542,MONDO:0008640,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0008640,"vasculitis, lymphocytic, nodular",biolink:Disease,"","",MONDO,CL:0000542,lymphocyte,biolink:Cell,"","",CL
CL:0000542,MONDO:0002052,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0002052,lymphadenitis,biolink:Disease,"","",MONDO,CL:0000542,lymphocyte,biolink:Cell,"","",CL
CL:0000542,HP:0004332,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0004332,Abnormal lymphocyte morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000542,lymphocyte,biolink:Cell,"","",CL
CL:0000547,HP:0025035,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0025035,Abnormal proerythroblast morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000547,proerythroblast,biolink:Cell,"","",CL
CL:0000556,HP:0012143,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0012143,Abnormal megakaryocyte morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000556,megakaryocyte,biolink:Cell,"","",CL
CL:0000570,MONDO:0015277,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0015277,medullary thyroid gland carcinoma,biolink:Disease,"","",MONDO,CL:0000570,parafollicular cell,biolink:Cell,"","",CL
CL:0000573,MONDO:0001703,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0001703,color vision disorder,biolink:Disease,"","",MONDO,CL:0000573,retinal cone cell,biolink:Cell,"","",CL
CL:0000576,HP:0012144,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0012144,Abnormal monocyte morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000576,monocyte,biolink:Cell,"","",CL
CL:0000586,HP:0012862,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0012862,Abnormal germ cell morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000586,germ cell,biolink:Cell,"","",CL
CL:0000586,MONDO:0005040,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0005040,germ cell tumor,biolink:Disease,"","",MONDO,CL:0000586,germ cell,biolink:Cell,"","",CL
CL:0000622,MONDO:0003624,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0003624,acinic cell breast carcinoma,biolink:Disease,"","",MONDO,CL:0000622,acinar cell,biolink:Cell,"","",CL
CL:0000622,MONDO:0004965,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004965,acinar cell carcinoma,biolink:Disease,"","",MONDO,CL:0000622,acinar cell,biolink:Cell,"","",CL
CL:0000623,HP:0012177,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0012177,Abnormal natural killer cell physiology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000623,natural killer cell,biolink:Cell,"","",CL
CL:0000623,HP:0012176,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0012176,Abnormal natural killer cell morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000623,natural killer cell,biolink:Cell,"","",CL
CL:0000623,MONDO:0019470,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0019470,aggressive NK-cell leukemia,biolink:Disease,"","",MONDO,CL:0000623,natural killer cell,biolink:Cell,"","",CL
CL:0000624,HP:0031392,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0031392,Abnormal proportion of CD4-positive T cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000624,"CD4-positive, alpha-beta T cell",biolink:Cell,"","",CL
CL:0000625,HP:0031393,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0031393,Abnormal proportion of CD8-positive T cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000625,"CD8-positive, alpha-beta T cell",biolink:Cell,"","",CL
CL:0000646,MONDO:0003264,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0003264,basosquamous carcinoma,biolink:Disease,"","",MONDO,CL:0000646,basal cell,biolink:Cell,"","",CL
CL:0000646,MONDO:0020799,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0020799,basal cell neoplasm,biolink:Disease,"","",MONDO,CL:0000646,basal cell,biolink:Cell,"","",CL
CL:0000646,MONDO:0020805,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0020805,benign basal cell neoplasm,biolink:Disease,"","",MONDO,CL:0000646,basal cell,biolink:Cell,"","",CL
CL:0000646,MONDO:0020804,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0020804,basal cell carcinoma,biolink:Disease,"","",MONDO,CL:0000646,basal cell,biolink:Cell,"","",CL
CL:0000646,MONDO:0006402,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006402,salivary gland basal cell adenocarcinoma,biolink:Disease,"","",MONDO,CL:0000646,basal cell,biolink:Cell,"","",CL
CL:0000669,MONDO:0002604,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0002604,pericytic neoplasm,biolink:Disease,"","",MONDO,CL:0000669,pericyte,biolink:Cell,"","",CL
CL:0000669,MONDO:0000960,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0000960,diabetic peripheral angiopathy,biolink:Disease,"","",MONDO,CL:0000669,pericyte,biolink:Cell,"","",CL
CL:0000731,MONDO:0024337,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0024337,urothelial neoplasm,biolink:Disease,"","",MONDO,CL:0000731,urothelial cell,biolink:Cell,"","",CL
CL:0000731,MONDO:0006350,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006350,papillary transitional cell carcinoma,biolink:Disease,"","",MONDO,CL:0000731,urothelial cell,biolink:Cell,"","",CL
CL:0000738,HP:0008318,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0008318,Elevated leukocyte alkaline phosphatase (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000738,leukocyte,biolink:Cell,"","",CL
CL:0000738,HP:0410183,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0410183,Abnormal glucose-6-phosphate dehydrogenase level in leukocytes (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000738,leukocyte,biolink:Cell,"","",CL
CL:0000738,HP:0004852,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0004852,Reduced leukocyte alkaline phosphatase (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000738,leukocyte,biolink:Cell,"","",CL
CL:0000738,MONDO:0004805,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004805,leukocyte disorder,biolink:Disease,"","",MONDO,CL:0000738,leukocyte,biolink:Cell,"","",CL
CL:0000738,HP:0001881,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0001881,Abnormal leukocyte morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000738,leukocyte,biolink:Cell,"","",CL
CL:0000763,MONDO:0006861,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006861,myeloid sarcoma,biolink:Disease,"","",MONDO,CL:0000763,myeloid cell,biolink:Cell,"","",CL
CL:0000763,HP:0020047,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0020047,Abnormal myeloid cell morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000763,myeloid cell,biolink:Cell,"","",CL
CL:0000764,HP:0012130,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0012130,Abnormal erythroid lineage cell morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000764,erythroid lineage cell,biolink:Cell,"","",CL
CL:0000765,HP:0034278,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0034278,Multinucleated erythroblast (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000765,erythroblast,biolink:Cell,"","",CL
CL:0000765,HP:0005510,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0005510,Transient erythroblastopenia (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000765,erythroblast,biolink:Cell,"","",CL
CL:0000765,MONDO:0006760,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006760,fetal erythroblastosis,biolink:Disease,"","",MONDO,CL:0000765,erythroblast,biolink:Cell,"","",CL
CL:0000766,MONDO:0000225,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0000225,human monocytic ehrlichiosis,biolink:Disease,"","",MONDO,CL:0000766,myeloid leukocyte,biolink:Cell,"","",CL
CL:0000766,HP:0010974,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0010974,Abnormal myeloid leukocyte morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000766,myeloid leukocyte,biolink:Cell,"","",CL
CL:0000767,HP:0001912,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0001912,Abnormal basophil morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000767,basophil,biolink:Cell,"","",CL
CL:0000771,HP:0001879,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0001879,Abnormal eosinophil morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000771,eosinophil,biolink:Cell,"","",CL
CL:0000771,MONDO:0044972,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0044972,eosinophil disorder,biolink:Disease,"","",MONDO,CL:0000771,eosinophil,biolink:Cell,"","",CL
CL:0000775,HP:0001874,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0001874,Abnormality of neutrophils (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000775,neutrophil,biolink:Cell,"","",CL
CL:0000775,MONDO:0015978,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0015978,functional neutrophil defect,biolink:Disease,"","",MONDO,CL:0000775,neutrophil,biolink:Cell,"","",CL
CL:0000775,MONDO:0005118,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0005118,human granulocytic ehrlichiosis,biolink:Disease,"","",MONDO,CL:0000775,neutrophil,biolink:Cell,"","",CL
CL:0000785,MONDO:0004949,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004949,neoplasm of mature B-cells,biolink:Disease,"","",MONDO,CL:0000785,mature B cell,biolink:Cell,"","",CL
CL:0000786,MONDO:0009693,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0009693,plasma cell myeloma,biolink:Disease,"","",MONDO,CL:0000786,plasma cell,biolink:Cell,"","",CL
CL:0000786,MONDO:0004959,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004959,plasma cell neoplasm,biolink:Disease,"","",MONDO,CL:0000786,plasma cell,biolink:Cell,"","",CL
CL:0000786,MONDO:0017364,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0017364,POEMS syndrome,biolink:Disease,"","",MONDO,CL:0000786,plasma cell,biolink:Cell,"","",CL
CL:0000787,HP:0030373,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0030373,Abnormal proportion of memory B cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000787,memory B cell,biolink:Cell,"","",CL
CL:0000788,HP:0030370,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0030370,Abnormal proportion of naive B cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000788,naive B cell,biolink:Cell,"","",CL
CL:0000788,MONDO:0004478,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004478,pregerminal center chronic lymphocytic leukemia/small lymphocytic lymphoma,biolink:Disease,"","",MONDO,CL:0000788,naive B cell,biolink:Cell,"","",CL
CL:0000789,HP:0030333,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0030333,Abnormal alpha-beta T cell morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000789,alpha-beta T cell,biolink:Cell,"","",CL
CL:0000792,HP:0020111,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0020111,Abnormal CD4+CD25+ regulatory T cell proportion (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",biolink:Cell,"","",CL
CL:0000798,HP:0500271,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0500271,Decreased proportion of gamma-delta T cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000798,gamma-delta T cell,biolink:Cell,"","",CL
CL:0000798,HP:0500270,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0500270,Increased proportion of gamma-delta T cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000798,gamma-delta T cell,biolink:Cell,"","",CL
CL:0000799,HP:0500273,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0500273,Increased proportion of immature gamma-delta T cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000799,immature gamma-delta T cell,biolink:Cell,"","",CL
CL:0000799,HP:0500274,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0500274,Decreased proportion of immature gamma-delta T cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000799,immature gamma-delta T cell,biolink:Cell,"","",CL
CL:0000813,HP:0032182,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0032182,Abnormal proportion of memory T cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000813,memory T cell,biolink:Cell,"","",CL
CL:0000816,HP:0030376,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0030376,Abnormal proportion of immature B cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000816,immature B cell,biolink:Cell,"","",CL
